# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    6.611797997    2.562672821    2.797856921    2.703657813
    6.661879800    2.541802493    2.773899512    2.680851177
    6.711961603    2.521340910    2.750410080    2.658490476
    6.762043406    2.501277574    2.727376636    2.636564323
    6.812125209    2.481602318    2.704787573    2.615061686
    6.862207012    2.462305298    2.682631645    2.593971880
    6.912288815    2.443376975    2.660897961    2.573284553
    6.962370618    2.424808110    2.639575966    2.552989669
    7.012452421    2.406589747    2.618655432    2.533077504
    7.062534224    2.388713208    2.598126443    2.513538628
    7.112616027    2.371170080    2.577979387    2.494363898
    7.162697830    2.353952203    2.558204944    2.475544446
    7.212779633    2.337051667    2.538794072    2.457071670
    7.262861436    2.320460798    2.519738004    2.438937226
    7.312943239    2.304172150    2.501028230    2.421133015
    7.363025042    2.288178500    2.482656495    2.403651177
    7.413106845    2.272472838    2.464614785    2.386484083
    7.463188648    2.257048358    2.446895322    2.369624326
    7.513270451    2.241898455    2.429490555    2.353064714
    7.563352254    2.227016713    2.412393149    2.336798260
    7.613434057    2.212396904    2.395595983    2.320818181
    7.663515860    2.198032976    2.379092137    2.305117883
    7.713597663    2.183919051    2.362874891    2.289690962
    7.763679466    2.170049418    2.346937712    2.274531193
    7.813761269    2.156418527    2.331274254    2.259632525
    7.863843072    2.143020982    2.315878346    2.244989078
    7.913924875    2.129851541    2.300743990    2.230595132
    7.964006678    2.116905105    2.285865355    2.216445127
    8.014088481    2.104176716    2.271236769    2.202533654
    8.064170284    2.091661553    2.256852716    2.188855453
    8.114252087    2.079354925    2.242707830    2.175405406
    8.164333890    2.067252271    2.228796892    2.162178533
    8.214415693    2.055349152    2.215114821    2.149169988
    8.264497496    2.043641247    2.201656675    2.136375056
    8.314579299    2.032124353    2.188417641    2.123789145
    8.364661102    2.020794377    2.175393038    2.111407785
    8.414742905    2.009647336    2.162578303    2.099226626
    8.464824708    1.998679349    2.149968999    2.087241430
    8.514906511    1.987886641    2.137560799    2.075448068
    8.564988314    1.977265531    2.125349493    2.063842521
    8.615070117    1.966812436    2.113330978    2.052420872
    8.665151920    1.956523865    2.101501257    2.041179305
    8.715233723    1.946396416    2.089856435    2.030114103
    8.765315526    1.936426775    2.078392716    2.019221640
    8.815397329    1.926611711    2.067106402    2.008498385
    8.865479132    1.916948077    2.055993887    1.997940894
    8.915560935    1.907432801    2.045051656    1.987545811
    8.965642738    1.898062892    2.034276280    1.977309862
    9.015724541    1.888835433    2.023664418    1.967229855
    9.065806344    1.879747576    2.013212811    1.957302678
    9.115888147    1.870796548    2.002918279    1.947525293
    9.165969950    1.861979640    1.992777721    1.937894738
    9.216051753    1.853294212    1.982788112    1.928408124
    9.266133556    1.844737688    1.972946499    1.919062631
    9.316215359    1.836307553    1.963250001    1.909855506
    9.366297162    1.828001352    1.953695808    1.900784063
    9.416378965    1.819816693    1.944281174    1.891845682
    9.466460768    1.811751236    1.935003422    1.883037802
    9.516542571    1.803802701    1.925859935    1.874357926
    9.566624374    1.795968858    1.916848161    1.865803614
    9.616706177    1.788247532    1.907965606    1.857372484
    9.666787980    1.780636600    1.899209835    1.849062209
    9.716869783    1.773133985    1.890578469    1.840870516
    9.766951586    1.765737661    1.882069186    1.832795187
    9.817033389    1.758445649    1.873679715    1.824834052
    9.867115192    1.751256013    1.865407839    1.816984993
    9.917196995    1.744166864    1.857251391    1.809245939
    9.967278798    1.737176356    1.849208254    1.801614868
   10.017360601    1.730282683    1.841276358    1.794089802
   10.067442404    1.723484080    1.833453681    1.786668808
   10.117524207    1.716778825    1.825738245    1.779349998
   10.167606010    1.710165232    1.818128118    1.772131525
   10.217687813    1.703641651    1.810621410    1.765011583
   10.267769616    1.697206472    1.803216272    1.757988406
   10.317851419    1.690858120    1.795910897    1.751060267
   10.367933222    1.684595053    1.788703518    1.744225479
   10.418015025    1.678415763    1.781592406    1.737482389
