mu_eV,T_K,PF_W_per_mK2
-4.18149,400,0
-4.18149,500,2.6676e-08
-4.18149,600,3.415e-07
-4.16857,300,0
-4.16857,400,0
-4.16857,500,1.71422e-08
-4.16857,600,2.74251e-07
-4.15566,300,0
-4.15566,400,0
-4.15566,500,1.26563e-08
-4.15566,600,2.19698e-07
-4.14273,300,0
-4.14273,400,0
-4.14273,500,9.62808e-09
-4.14273,600,1.76242e-07
-4.12981,300,0
-4.12981,400,0
-4.12981,500,6.9838e-09
-4.12981,600,1.39732e-07
-4.11689,300,0
-4.11689,400,0
-4.11689,500,4.3023e-09
-4.11689,600,1.09882e-07
-4.10397,300,0
-4.10397,400,0
-4.10397,500,2.27575e-09
-4.10397,600,8.78067e-08
-4.09104,300,0
-4.09104,400,0
-4.09104,500,8.12024e-10
-4.09104,600,6.81915e-08
-4.07812,300,0
-4.07812,400,0
-4.07812,500,5.20931e-10
-4.07812,600,5.32042e-08
-4.06521,300,0
-4.06521,400,0
-4.06521,500,2.88959e-10
-4.06521,600,4.18127e-08
-4.05228,300,0
-4.05228,400,0
-4.05228,500,9.34898e-11
-4.05228,600,3.25223e-08
-4.03935,300,0
-4.03935,400,0
-4.03935,500,0
-4.03935,600,2.58169e-08
-4.02644,300,0
-4.02644,400,0
-4.02644,500,0
-4.02644,600,1.916e-08
-4.01352,300,0
-4.01352,400,0
-4.01352,500,0
-4.01352,600,1.22525e-08
-4.00059,300,0
-4.00059,400,0
-4.00059,500,0
-4.00059,600,9.36503e-09
-3.98767,300,0
-3.98767,400,0
-3.98767,500,0
-3.98767,600,7.43484e-09
-3.97476,300,0
-3.97476,400,0
-3.97476,500,0
-3.97476,600,5.59529e-09
-3.96183,300,0
-3.96183,400,0
-3.96183,500,0
-3.96183,600,3.51635e-09
-3.9489,300,0
-3.9489,400,0
-3.9489,500,0
-3.9489,600,1.88124e-09
-3.93599,300,0
-3.93599,400,0
-3.93599,500,0
-3.93599,600,6.54873e-10
-3.92307,300,0
-3.92307,400,0
-3.92307,500,0
-3.92307,600,4.32969e-10
-3.91014,300,0
-3.91014,400,0
-3.91014,500,0
-3.91014,600,2.46834e-10
-3.89723,300,0
-3.89723,400,0
-3.89723,500,0
-3.89723,600,8.1455e-11
-3.8843,300,0
-3.8843,400,0
-3.8843,500,0
-3.8843,600,0
-3.87138,300,0
-3.87138,400,0
-3.87138,500,0
-3.87138,600,0
-3.85845,300,0
-3.85845,400,0
-3.85845,500,0
-3.85845,600,0
-3.84554,300,0
-3.84554,400,0
