mu_eV,PF_W_per_mK2
4.48878,5.99086e-06
4.5017,7.64463e-07
4.51462,1.21022e-05
4.52754,2.58261e-05
4.54047,3.11387e-05
4.55338,2.53382e-05
4.5663,1.31181e-05
4.57923,2.5594e-06
4.59215,5.41957e-07
4.60507,9.45968e-06
4.61799,2.61479e-05
4.63092,4.29946e-05
4.64383,5.07063e-05
4.65675,4.25525e-05
4.66968,2.03176e-05
4.68261,8.15432e-07
4.69552,1.83697e-05
4.70844,0.000116784
4.72137,0.000329493
4.73428,0.000657851
4.7472,0.00106313
4.76013,0.00147899
4.77304,0.00183626
4.78597,0.00208582
4.79889,0.00221077
4.81182,0.00222614
4.82473,0.00216914
4.83766,0.00208428
4.85058,0.00200851
4.86349,0.00196015
4.87642,0.0019343
4.88934,0.00190656
4.90227,0.00184553
4.91518,0.00172866
4.92811,0.00155233
4.94103,0.00133049
4.95394,0.00108548
4.96687,0.000838764
4.97979,0.000606656
4.99271,0.000400898
5.00563,0.00023091
5.01856,0.000104736
5.03148,2.77338e-05
5.04439,2.16223e-07
5.05732,1.57673e-05
5.07025,6.14502e-05
5.08316,0.000120079
5.09608,0.000173923
5.10901,0.000208773
5.12193,0.000217176
5.13484,0.000199894
5.14777,0.000164841
5.1607,0.000123545
5.17361,8.6482e-05
5.18653,5.97262e-05
5.19946,4.46471e-05
5.21237,4.01905e-05
5.2253,4.56534e-05
5.23822,6.1908e-05
5.25115,9.0564e-05
5.26406,0.000132115
5.27698,0.000184478
5.28991,0.000242589
5.30282,0.000298748
5.31575,0.000343374
5.32867,0.000366376
5.3416,0.00035962
5.35451,0.000320312
5.36743,0.00025368
5.38036,0.000172794
5.39327,9.47912e-05
5.4062,3.52507e-05
5.41912,3.9228e-06
5.43205,3.81119e-06
5.44496,3.29987e-05
5.45788,8.69796e-05
5.47081,0.000159875
5.48372,0.000244636
5.49665,0.000333257
5.50957,0.000417478
5.52248,0.000489414
5.53541,0.000541497
5.54834,0.000566217
5.56126,0.000557045
5.57417,0.000511328
5.5871,0.000433743
5.60002,0.000337185
5.61294,0.000238997
5.62586,0.000154397
5.63879,9.13273e-05
5.65171,4.97831e-05
5.66462,2.49079e-05
5.67755,1.08917e-05
5.69047,3.39405e-06
5.70339,2.1217e-07
5.71631,9.18251e-07
5.72924,6.01139e-06
5.74215,1.58075e-05
5.75507,2.93932e-05
5.768,4.41457e-05
5.78093,5.61215e-05
5.79384,6.11911e-05
5.80676,5.65821e-05
5.81969,4.24845e-05
5.8326,2.312e-05
5.84552,6.21101e-06
5.85845,4.64558e-08
5.87138,9.03071e-06
5.88429,3.0615e-05
5.89721,5.63146e-05
5.91014,7.63608e-05
5.92305,8.44915e-05
5.93598,7.97758e-05
5.9489,6.54045e-05
5.96181,4.63353e-05
5.97474,2.74345e-05
5.98766,1.24146e-05
6.00059,3.2718e-06
6.0135,5.82985e-08
6.02643,1.06283e-06
6.03935,3.47104e-06
6.05226,4.46917e-06
6.06519,2.72998e-06
6.07811,1.36607e-07
6.09104,3.21824e-06
6.10395,2.32495e-05
6.11688,7.39782e-05
6.1298,0.000166974
6.14271,0.000306148
6.15564,0.00048398
6.16856,0.000681617
6.18148,0.000873398
6.1944,0.00103387
6.20733,0.001144
6.22025,0.00119435
6.23316,0.00118485
6.24609,0.00112276
6.25902,0.00102
6.27193,0.000890467
6.28485,0.000747553
6.29778,0.000602297
6.3107,0.000462642
6.32362,0.000333863
6.33654,0.000219817
6.34947,0.000124331
6.36238,5.2276e-05
6.3753,9.54744e-06
6.38823,1.39006e-06
6.40114,2.92796e-05
6.41407,8.8277e-05
6.42699,0.00016729
6.43992,0.000252794
6.45283,0.000333656
6.46575,0.000403842
6.47868,0.00046166
6.49159,0.000506849
6.50452,0.000537932
6.51744,0.000551536
6.53037,0.000543885
6.54328,0.000513333
6.5562,0.000462232
6.56913,0.000396848
6.58204,0.000325299
6.59497,0.000254831
6.60789,0.000190157
6.6208,0.000133568
6.63373,8.6143e-05
6.64666,4.8726e-05
6.65958,2.1983e-05
6.67249,5.9543e-06
6.68542,5.41606e-08
6.69834,4.00821e-06
6.71126,1.93161e-05
6.72418,5.03489e-05
6.73711,0.000104163
6.75003,0.00018829
6.76294,0.000306494
6.77587,0.000454053
6.78879,0.000615339
6.80171,0.000766256
6.81469,0.000881648
6.82761,0.000944344
6.84054,0.00095097
6.85346,0.000911654
6.86625,0.000844574
6.87918,0.000769248
6.8921,0.000701722
6.90503,0.000652451
6.91795,0.000625935
6.93088,0.00062052
6.9438,0.000627912
6.95673,0.000633762
6.96965,0.000621392
6.98258,0.000578891
6.99551,0.000505412
7.00843,0.000411349
7.02136,0.000312154
